Entry	Entry Name	Protein names	Organism	EC number	UniRef90	Species
A0A858XHH2	A0A858XHH2_9BACT	Shikimate kinase (SK) (EC 2.7.1.71)	Phocaeicola dorei	2.7.1.71	UniRef90_A6L011	Phocaeicola_dorei
I9R505	I9R505_9BACT	Shikimate kinase (SK) (EC 2.7.1.71)	Phocaeicola dorei CL02T12C06	2.7.1.71	UniRef90_A6L011	Phocaeicola_dorei
I8WG72	I8WG72_9BACT	Shikimate kinase (SK) (EC 2.7.1.71)	Phocaeicola dorei CL03T12C01	2.7.1.71	UniRef90_A6L011	Phocaeicola_dorei
B6VY65	B6VY65_9BACT	Shikimate kinase (SK) (EC 2.7.1.71)	Phocaeicola dorei DSM 17855	2.7.1.71	UniRef90_A6L011	Phocaeicola_dorei
A0A4R4HB18	A0A4R4HB18_9BACT	3-phosphoshikimate 1-carboxyvinyltransferase (EC 2.5.1.19) (5-enolpyruvylshikimate-3-phosphate synthase) (EPSP synthase) (EPSPS)	Phocaeicola dorei	2.5.1.19	UniRef90_I9A2E3	Phocaeicola_dorei
A0AA37NJ96	A0AA37NJ96_9BACT	3-phosphoshikimate 1-carboxyvinyltransferase (EC 2.5.1.19) (5-enolpyruvylshikimate-3-phosphate synthase) (EPSP synthase) (EPSPS)	Phocaeicola dorei	2.5.1.19	UniRef90_I9A2E3	Phocaeicola_dorei
A0A076J603	A0A076J603_9BACT	3-phosphoshikimate 1-carboxyvinyltransferase (EC 2.5.1.19) (5-enolpyruvylshikimate-3-phosphate synthase) (EPSP synthase) (EPSPS)	Phocaeicola dorei	2.5.1.19	UniRef90_I9A2E3	Phocaeicola_dorei
A0A5C6L9J1	A0A5C6L9J1_9BACT	3-phosphoshikimate 1-carboxyvinyltransferase (EC 2.5.1.19) (5-enolpyruvylshikimate-3-phosphate synthase) (EPSP synthase) (EPSPS)	Phocaeicola dorei	2.5.1.19	UniRef90_I9A2E3	Phocaeicola_dorei
I9EYH0	I9EYH0_9BACT	3-phosphoshikimate 1-carboxyvinyltransferase (EC 2.5.1.19) (5-enolpyruvylshikimate-3-phosphate synthase) (EPSP synthase) (EPSPS)	Phocaeicola dorei CL02T12C06	2.5.1.19	UniRef90_I9A2E3	Phocaeicola_dorei
I8W6I5	I8W6I5_9BACT	3-phosphoshikimate 1-carboxyvinyltransferase (EC 2.5.1.19) (5-enolpyruvylshikimate-3-phosphate synthase) (EPSP synthase) (EPSPS)	Phocaeicola dorei CL03T12C01	2.5.1.19	UniRef90_I9A2E3	Phocaeicola_dorei
B6W0V2	B6W0V2_9BACT	3-phosphoshikimate 1-carboxyvinyltransferase (EC 2.5.1.19) (5-enolpyruvylshikimate-3-phosphate synthase) (EPSP synthase) (EPSPS)	Phocaeicola dorei DSM 17855	2.5.1.19	UniRef90_I9A2E3	Phocaeicola_dorei
A0A0K2HKD7	A0A0K2HKD7_9BACT	Chorismate synthase (CS) (EC 4.2.3.5) (5-enolpyruvylshikimate-3-phosphate phospholyase)	Phocaeicola dorei	4.2.3.5	UniRef90_A6L3D0	Phocaeicola_dorei
A0A5C6KFN3	A0A5C6KFN3_9BACT	Chorismate synthase (CS) (EC 4.2.3.5) (5-enolpyruvylshikimate-3-phosphate phospholyase)	Phocaeicola dorei	4.2.3.5	UniRef90_A6L3D0	Phocaeicola_dorei
A0A4Q5HY20	A0A4Q5HY20_9BACT	Chorismate synthase (CS) (EC 4.2.3.5) (5-enolpyruvylshikimate-3-phosphate phospholyase)	Phocaeicola dorei	4.2.3.5	UniRef90_A6L3D0	Phocaeicola_dorei
A0AA37KG18	A0AA37KG18_9BACT	Chorismate synthase (CS) (EC 4.2.3.5) (5-enolpyruvylshikimate-3-phosphate phospholyase)	Phocaeicola dorei	4.2.3.5	UniRef90_A6L3D0	Phocaeicola_dorei
I8WSJ3	I8WSJ3_9BACT	Chorismate synthase (CS) (EC 4.2.3.5) (5-enolpyruvylshikimate-3-phosphate phospholyase)	Phocaeicola dorei CL03T12C01	4.2.3.5	UniRef90_A6L3D0	Phocaeicola_dorei
I9RA11	I9RA11_9BACT	Chorismate synthase (CS) (EC 4.2.3.5) (5-enolpyruvylshikimate-3-phosphate phospholyase)	Phocaeicola dorei CL02T12C06	4.2.3.5	UniRef90_A6L3D0	Phocaeicola_dorei
B6W3P5	B6W3P5_9BACT	Chorismate synthase (CS) (EC 4.2.3.5) (5-enolpyruvylshikimate-3-phosphate phospholyase)	Phocaeicola dorei DSM 17855	4.2.3.5	UniRef90_A6L3D0	Phocaeicola_dorei
A0A076J5J6	A0A076J5J6_9BACT	3-deoxy-7-phosphoheptulonate synthase (Cytochrome c4)	Phocaeicola dorei		UniRef90_J9G8M8	Phocaeicola_dorei
A0AA95KPR3	A0AA95KPR3_9BACT	Bifunctional 3-deoxy-7-phosphoheptulonate synthase/chorismate mutase type II	Phocaeicola dorei		UniRef90_J9G8M8	Phocaeicola_dorei
A0AAE4S1C0	A0AAE4S1C0_9BACT	Bifunctional 3-deoxy-7-phosphoheptulonate synthase/chorismate mutase type II	Phocaeicola dorei		UniRef90_J9G8M8	Phocaeicola_dorei
A0A5C6KQM4	A0A5C6KQM4_9BACT	3-deoxy-7-phosphoheptulonate synthase	Phocaeicola dorei		UniRef90_J9G8M8	Phocaeicola_dorei
I8VHI6	I8VHI6_9BACT	Phospho-2-dehydro-3-deoxyheptonate aldolase	Phocaeicola dorei CL02T12C06		UniRef90_J9G8M8	Phocaeicola_dorei
I9FZX0	I9FZX0_9BACT	Phospho-2-dehydro-3-deoxyheptonate aldolase	Phocaeicola dorei CL03T12C01		UniRef90_J9G8M8	Phocaeicola_dorei
B6W1N6	B6W1N6_9BACT	Chorismate mutase domain-containing protein	Phocaeicola dorei DSM 17855		UniRef90_J9G8M8	Phocaeicola_dorei
A0A930BAF9	A0A930BAF9_9FIRM	3-dehydroquinate synthase	Dialister invisus		UniRef90_C9LPG2	Dialister_invisus
C9LPG2	C9LPG2_9FIRM	3-dehydroquinate synthase (EC 4.2.3.4)	Dialister invisus DSM 15470	4.2.3.4	UniRef90_C9LPG2	Dialister_invisus
I0W757	I0W757_9FLAO	3-dehydroquinate synthase (EC 4.2.3.4)	Imtechella halotolerans K1	4.2.3.4	UniRef90_I0W757	Imtechella_halotolerans
I0WGK4	I0WGK4_9FLAO	3-dehydroquinate dehydratase (3-dehydroquinase) (EC 4.2.1.10) (Type II DHQase)	Imtechella halotolerans K1	4.2.1.10	UniRef90_I0WGK4	Imtechella_halotolerans
I0WDB8	I0WDB8_9FLAO	Shikimate kinase (SK) (EC 2.7.1.71)	Imtechella halotolerans K1	2.7.1.71	UniRef90_I0WDB8	Imtechella_halotolerans
I0WKK0	I0WKK0_9FLAO	3-phosphoshikimate 1-carboxyvinyltransferase (EC 2.5.1.19) (5-enolpyruvylshikimate-3-phosphate synthase) (EPSP synthase) (EPSPS)	Imtechella halotolerans K1	2.5.1.19	UniRef90_I0WKK0	Imtechella_halotolerans
I0W6Z5	I0W6Z5_9FLAO	Chorismate synthase (CS) (EC 4.2.3.5) (5-enolpyruvylshikimate-3-phosphate phospholyase)	Imtechella halotolerans K1	4.2.3.5	UniRef90_I0W6Z5	Imtechella_halotolerans
A0A1Q6F5U3	A0A1Q6F5U3_9BACT	Shikimate kinase (SK) (EC 2.7.1.71)	Alistipes putredinis	2.7.1.71	UniRef90_B0MT18	Alistipes_putredinis
B0MT18	B0MT18_9BACT	Shikimate kinase (SK) (EC 2.7.1.71)	Alistipes putredinis DSM 17216	2.7.1.71	UniRef90_B0MT18	Alistipes_putredinis
A0A1Q6FDA7	A0A1Q6FDA7_9BACT	3-phosphoshikimate 1-carboxyvinyltransferase (EC 2.5.1.19) (5-enolpyruvylshikimate-3-phosphate synthase) (EPSP synthase) (EPSPS)	Alistipes putredinis	2.5.1.19	UniRef90_B0MTH5	Alistipes_putredinis
B0MTH5	B0MTH5_9BACT	3-phosphoshikimate 1-carboxyvinyltransferase (EC 2.5.1.19) (5-enolpyruvylshikimate-3-phosphate synthase) (EPSP synthase) (EPSPS)	Alistipes putredinis DSM 17216	2.5.1.19	UniRef90_B0MTH5	Alistipes_putredinis
A0A1Q6F4W8	A0A1Q6F4W8_9BACT	3-phosphoshikimate 1-carboxyvinyltransferase (EC 2.5.1.19) (5-enolpyruvylshikimate-3-phosphate synthase) (EPSP synthase) (EPSPS)	Alistipes putredinis	2.5.1.19	UniRef90_A0A1Q6F4W8	Alistipes_putredinis
B0MX12	B0MX12_9BACT	3-phosphoshikimate 1-carboxyvinyltransferase (EC 2.5.1.19) (5-enolpyruvylshikimate-3-phosphate synthase) (EPSP synthase) (EPSPS)	Alistipes putredinis DSM 17216	2.5.1.19	UniRef90_B0MX12	Alistipes_putredinis
A0A1Q6F5D4	A0A1Q6F5D4_9BACT	Chorismate synthase (CS) (EC 4.2.3.5) (5-enolpyruvylshikimate-3-phosphate phospholyase)	Alistipes putredinis	4.2.3.5	UniRef90_B0MX66	Alistipes_putredinis
B0MX66	B0MX66_9BACT	Chorismate synthase (CS) (EC 4.2.3.5) (5-enolpyruvylshikimate-3-phosphate phospholyase)	Alistipes putredinis DSM 17216	4.2.3.5	UniRef90_B0MX66	Alistipes_putredinis
A0A0E2ZD90	A0A0E2ZD90_BIFBI	3-dehydroquinate dehydratase (3-dehydroquinase) (EC 4.2.1.10) (Type II DHQase)	Bifidobacterium bifidum	4.2.1.10	UniRef90_Q8G5X5	Bifidobacterium_bifidum
A0A2U0BUJ8	A0A2U0BUJ8_BIFBI	3-dehydroquinate dehydratase (3-dehydroquinase) (EC 4.2.1.10) (Type II DHQase)	Bifidobacterium bifidum	4.2.1.10	UniRef90_Q8G5X5	Bifidobacterium_bifidum
I3WHP1	I3WHP1_BIFBI	3-dehydroquinate dehydratase (3-dehydroquinase) (EC 4.2.1.10) (Type II DHQase)	Bifidobacterium bifidum BGN4	4.2.1.10	UniRef90_Q8G5X5	Bifidobacterium_bifidum
A0A0H3EC98	A0A0H3EC98_BIFBP	3-dehydroquinate dehydratase (3-dehydroquinase) (EC 4.2.1.10) (Type II DHQase)	Bifidobacterium bifidum (strain PRL2010)	4.2.1.10	UniRef90_Q8G5X5	Bifidobacterium_bifidum
A0A286TF88	A0A286TF88_BIFBI	3-dehydroquinate dehydratase (3-dehydroquinase) (EC 4.2.1.10) (Type II DHQase)	Bifidobacterium bifidum LMG 13195	4.2.1.10	UniRef90_Q8G5X5	Bifidobacterium_bifidum
A0AB33XMI3	A0AB33XMI3_BIFBI	3-dehydroquinate dehydratase (3-dehydroquinase) (EC 4.2.1.10) (Type II DHQase)	Bifidobacterium bifidum LMG 13195	4.2.1.10	UniRef90_Q8G5X5	Bifidobacterium_bifidum
A0A7J5TQH9	A0A7J5TQH9_BIFBI	3-deoxy-7-phosphoheptulonate synthase (EC 2.5.1.54) (3-deoxy-D-arabino-heptulosonate 7-phosphate synthase) (DAHP synthase) (Phospho-2-keto-3-deoxyheptonate aldolase)	Bifidobacterium bifidum	2.5.1.54	UniRef90_A0A0H3EE49	Bifidobacterium_bifidum
A0A133KNZ2	A0A133KNZ2_BIFBI	3-deoxy-7-phosphoheptulonate synthase (EC 2.5.1.54) (3-deoxy-D-arabino-heptulosonate 7-phosphate synthase) (DAHP synthase) (Phospho-2-keto-3-deoxyheptonate aldolase)	Bifidobacterium bifidum	2.5.1.54	UniRef90_A0A0H3EE49	Bifidobacterium_bifidum
A0A415C733	A0A415C733_BIFBI	3-deoxy-7-phosphoheptulonate synthase (EC 2.5.1.54) (3-deoxy-D-arabino-heptulosonate 7-phosphate synthase) (DAHP synthase) (Phospho-2-keto-3-deoxyheptonate aldolase)	Bifidobacterium bifidum	2.5.1.54	UniRef90_A0A0H3EE49	Bifidobacterium_bifidum
I3WJW4	I3WJW4_BIFBI	3-deoxy-7-phosphoheptulonate synthase (EC 2.5.1.54) (3-deoxy-D-arabino-heptulosonate 7-phosphate synthase) (DAHP synthase) (Phospho-2-keto-3-deoxyheptonate aldolase)	Bifidobacterium bifidum BGN4	2.5.1.54	UniRef90_A0A0H3EE49	Bifidobacterium_bifidum
A0A286TBP2	A0A286TBP2_BIFBI	3-deoxy-7-phosphoheptulonate synthase (EC 2.5.1.54) (3-deoxy-D-arabino-heptulosonate 7-phosphate synthase) (DAHP synthase) (Phospho-2-keto-3-deoxyheptonate aldolase)	Bifidobacterium bifidum LMG 13195	2.5.1.54	UniRef90_A0A0H3EE49	Bifidobacterium_bifidum
A0A0H3EE49	A0A0H3EE49_BIFBP	3-deoxy-7-phosphoheptulonate synthase (EC 2.5.1.54) (3-deoxy-D-arabino-heptulosonate 7-phosphate synthase) (DAHP synthase) (Phospho-2-keto-3-deoxyheptonate aldolase)	Bifidobacterium bifidum (strain PRL2010)	2.5.1.54	UniRef90_A0A0H3EE49	Bifidobacterium_bifidum
A0AB36BXZ9	A0AB36BXZ9_BIFBI	3-deoxy-7-phosphoheptulonate synthase (EC 2.5.1.54) (3-deoxy-D-arabino-heptulosonate 7-phosphate synthase) (DAHP synthase) (Phospho-2-keto-3-deoxyheptonate aldolase)	Bifidobacterium bifidum	2.5.1.54	UniRef90_A0A0H3EE49	Bifidobacterium_bifidum
A0AB33XMT9	A0AB33XMT9_BIFBI	3-deoxy-7-phosphoheptulonate synthase (EC 2.5.1.54) (3-deoxy-D-arabino-heptulosonate 7-phosphate synthase) (DAHP synthase) (Phospho-2-keto-3-deoxyheptonate aldolase)	Bifidobacterium bifidum LMG 13195	2.5.1.54	UniRef90_A0A0H3EE49	Bifidobacterium_bifidum
A0A7J5TPK7	A0A7J5TPK7_BIFBI	Phospho-2-dehydro-3-deoxyheptonate aldolase (EC 2.5.1.54)	Bifidobacterium bifidum	2.5.1.54	UniRef90_A0A286TB72	Bifidobacterium_bifidum
A0A0M5L0R1	A0A0M5L0R1_BIFBI	Phospho-2-dehydro-3-deoxyheptonate aldolase (EC 2.5.1.54)	Bifidobacterium bifidum	2.5.1.54	UniRef90_A0A286TB72	Bifidobacterium_bifidum
A0A2U0C067	A0A2U0C067_BIFBI	Phospho-2-dehydro-3-deoxyheptonate aldolase (EC 2.5.1.54)	Bifidobacterium bifidum	2.5.1.54	UniRef90_A0A286TB72	Bifidobacterium_bifidum
I3WJW7	I3WJW7_BIFBI	Phospho-2-dehydro-3-deoxyheptonate aldolase (EC 2.5.1.54)	Bifidobacterium bifidum BGN4	2.5.1.54	UniRef90_A0A286TB72	Bifidobacterium_bifidum
A0A0H3EC65	A0A0H3EC65_BIFBP	Phospho-2-dehydro-3-deoxyheptonate aldolase (EC 2.5.1.54)	Bifidobacterium bifidum (strain PRL2010)	2.5.1.54	UniRef90_A0A286TB72	Bifidobacterium_bifidum
A0A286TB72	A0A286TB72_BIFBI	Phospho-2-dehydro-3-deoxyheptonate aldolase (EC 2.5.1.54)	Bifidobacterium bifidum LMG 13195	2.5.1.54	UniRef90_A0A286TB72	Bifidobacterium_bifidum
A0AB33XMT3	A0AB33XMT3_BIFBI	Phospho-2-dehydro-3-deoxyheptonate aldolase (EC 2.5.1.54)	Bifidobacterium bifidum LMG 13195	2.5.1.54	UniRef90_A0A286TB72	Bifidobacterium_bifidum
A0A0H2NI78	A0A0H2NI78_BIFBI	Multifunctional fusion protein [Includes: Shikimate kinase (SK) (EC 2.7.1.71); 3-dehydroquinate synthase (DHQS) (EC 4.2.3.4)]	Bifidobacterium bifidum	2.7.1.71; 4.2.3.4	UniRef90_I3WHP0	Bifidobacterium_bifidum
A0A133KK26	A0A133KK26_BIFBI	Multifunctional fusion protein [Includes: Shikimate kinase (SK) (EC 2.7.1.71); 3-dehydroquinate synthase (DHQS) (EC 4.2.3.4)]	Bifidobacterium bifidum	2.7.1.71; 4.2.3.4	UniRef90_I3WHP0	Bifidobacterium_bifidum
I3WHP0	I3WHP0_BIFBI	Multifunctional fusion protein [Includes: Shikimate kinase (SK) (EC 2.7.1.71); 3-dehydroquinate synthase (DHQS) (EC 4.2.3.4)]	Bifidobacterium bifidum BGN4	2.7.1.71; 4.2.3.4	UniRef90_I3WHP0	Bifidobacterium_bifidum
A0A286TEV3	A0A286TEV3_BIFBI	Multifunctional fusion protein [Includes: Shikimate kinase (SK) (EC 2.7.1.71); 3-dehydroquinate synthase (DHQS) (EC 4.2.3.4)]	Bifidobacterium bifidum LMG 13195	2.7.1.71; 4.2.3.4	UniRef90_I3WHP0	Bifidobacterium_bifidum
A0A0H3E9K7	A0A0H3E9K7_BIFBP	Multifunctional fusion protein [Includes: Shikimate kinase (SK) (EC 2.7.1.71); 3-dehydroquinate synthase (DHQS) (EC 4.2.3.4)]	Bifidobacterium bifidum (strain PRL2010)	2.7.1.71; 4.2.3.4	UniRef90_I3WHP0	Bifidobacterium_bifidum
A0AB36BZH3	A0AB36BZH3_BIFBI	Multifunctional fusion protein [Includes: Shikimate kinase (SK) (EC 2.7.1.71); 3-dehydroquinate synthase (DHQS) (EC 4.2.3.4)]	Bifidobacterium bifidum	2.7.1.71; 4.2.3.4	UniRef90_I3WHP0	Bifidobacterium_bifidum
A0AB33XMH2	A0AB33XMH2_BIFBI	Multifunctional fusion protein [Includes: Shikimate kinase (SK) (EC 2.7.1.71); 3-dehydroquinate synthase (DHQS) (EC 4.2.3.4)]	Bifidobacterium bifidum LMG 13195	2.7.1.71; 4.2.3.4	UniRef90_I3WHP0	Bifidobacterium_bifidum
A0A0H2PJD6	A0A0H2PJD6_BIFBI	Ppx/GppA family phosphatase	Bifidobacterium bifidum		UniRef90_I3WHD9	Bifidobacterium_bifidum
A0A133KR24	A0A133KR24_BIFBI	Ppx/GppA phosphatase family protein	Bifidobacterium bifidum		UniRef90_I3WHD9	Bifidobacterium_bifidum
A0A151CBN6	A0A151CBN6_BIFBI	Ppx/GppA family phosphatase	Bifidobacterium bifidum		UniRef90_I3WHD9	Bifidobacterium_bifidum
I3WHD9	I3WHD9_BIFBI	Bifunctional 3-dehydroquinatesynthase/phosphatase (EC 4.2.3.4)	Bifidobacterium bifidum BGN4	4.2.3.4	UniRef90_I3WHD9	Bifidobacterium_bifidum
K2I5P7	K2I5P7_BIFBI	Bifunctional 3-dehydroquinatesynthase/phosphatase (Exopolyphosphatase)	Bifidobacterium bifidum LMG 13195		UniRef90_I3WHD9	Bifidobacterium_bifidum
A0A0H3EC07	A0A0H3EC07_BIFBP	Exopolyphosphatase (EC 4.2.3.4)	Bifidobacterium bifidum (strain PRL2010)	4.2.3.4	UniRef90_I3WHD9	Bifidobacterium_bifidum
I3WI45	I3WI45_BIFBI	Shikimate dehydrogenase (EC 1.1.1.25)	Bifidobacterium bifidum BGN4	1.1.1.25	UniRef90_I3WI45	Bifidobacterium_bifidum
A0A0H3ECT8	A0A0H3ECT8_BIFBP	AroE Shikimate 5-dehydrogenase (EC 1.1.1.25)	Bifidobacterium bifidum (strain PRL2010)	1.1.1.25	UniRef90_I3WI45	Bifidobacterium_bifidum
A0A133KSB9	A0A133KSB9_BIFBI	Shikimate dehydrogenase	Bifidobacterium bifidum		UniRef90_I3WI45	Bifidobacterium_bifidum
A0A7J5TNY3	A0A7J5TNY3_BIFBI	Shikimate dehydrogenase	Bifidobacterium bifidum		UniRef90_I3WI45	Bifidobacterium_bifidum
A0AB33XLN5	A0AB33XLN5_BIFBI	Shikimate 5-dehydrogenase	Bifidobacterium bifidum LMG 13195		UniRef90_I3WI45	Bifidobacterium_bifidum
A0A286TFE0	A0A286TFE0_BIFBI	AroE protein	Bifidobacterium bifidum LMG 13195		UniRef90_I3WI45	Bifidobacterium_bifidum
A0A415C869	A0A415C869_BIFBI	3-phosphoshikimate 1-carboxyvinyltransferase (EC 2.5.1.19) (5-enolpyruvylshikimate-3-phosphate synthase) (EPSP synthase) (EPSPS)	Bifidobacterium bifidum	2.5.1.19	UniRef90_A0A0H3EC41	Bifidobacterium_bifidum
A0A7J5TSZ3	A0A7J5TSZ3_BIFBI	3-phosphoshikimate 1-carboxyvinyltransferase (EC 2.5.1.19) (5-enolpyruvylshikimate-3-phosphate synthase) (EPSP synthase) (EPSPS)	Bifidobacterium bifidum	2.5.1.19	UniRef90_A0A0H3EC41	Bifidobacterium_bifidum
A0AB36BY69	A0AB36BY69_BIFBI	3-phosphoshikimate 1-carboxyvinyltransferase (EC 2.5.1.19) (5-enolpyruvylshikimate-3-phosphate synthase) (EPSP synthase) (EPSPS)	Bifidobacterium bifidum	2.5.1.19	UniRef90_A0A0H3EC41	Bifidobacterium_bifidum
A0A133KRN3	A0A133KRN3_BIFBI	3-phosphoshikimate 1-carboxyvinyltransferase (EC 2.5.1.19) (5-enolpyruvylshikimate-3-phosphate synthase) (EPSP synthase) (EPSPS)	Bifidobacterium bifidum	2.5.1.19	UniRef90_A0A0H3EC41	Bifidobacterium_bifidum
I3WHI3	I3WHI3_BIFBI	3-phosphoshikimate 1-carboxyvinyltransferase (EC 2.5.1.19) (5-enolpyruvylshikimate-3-phosphate synthase) (EPSP synthase) (EPSPS)	Bifidobacterium bifidum BGN4	2.5.1.19	UniRef90_A0A0H3EC41	Bifidobacterium_bifidum
A0AB33XPV1	A0AB33XPV1_BIFBI	3-phosphoshikimate 1-carboxyvinyltransferase (EC 2.5.1.19) (5-enolpyruvylshikimate-3-phosphate synthase) (EPSP synthase) (EPSPS)	Bifidobacterium bifidum LMG 13195	2.5.1.19	UniRef90_A0A0H3EC41	Bifidobacterium_bifidum
A0A286TF33	A0A286TF33_BIFBI	3-phosphoshikimate 1-carboxyvinyltransferase (EC 2.5.1.19) (5-enolpyruvylshikimate-3-phosphate synthase) (EPSP synthase) (EPSPS)	Bifidobacterium bifidum LMG 13195	2.5.1.19	UniRef90_A0A0H3EC41	Bifidobacterium_bifidum
A0A0H3EC41	A0A0H3EC41_BIFBP	3-phosphoshikimate 1-carboxyvinyltransferase (EC 2.5.1.19) (5-enolpyruvylshikimate-3-phosphate synthase) (EPSP synthase) (EPSPS)	Bifidobacterium bifidum (strain PRL2010)	2.5.1.19	UniRef90_A0A0H3EC41	Bifidobacterium_bifidum
A0A0H2P5N2	A0A0H2P5N2_BIFBI	Chorismate synthase (CS) (EC 4.2.3.5) (5-enolpyruvylshikimate-3-phosphate phospholyase)	Bifidobacterium bifidum	4.2.3.5	UniRef90_I3WHN9	Bifidobacterium_bifidum
I3WHN9	I3WHN9_BIFBI	Chorismate synthase (CS) (EC 4.2.3.5) (5-enolpyruvylshikimate-3-phosphate phospholyase)	Bifidobacterium bifidum BGN4	4.2.3.5	UniRef90_I3WHN9	Bifidobacterium_bifidum
A0A0H3E9U5	A0A0H3E9U5_BIFBP	Chorismate synthase (CS) (EC 4.2.3.5) (5-enolpyruvylshikimate-3-phosphate phospholyase)	Bifidobacterium bifidum (strain PRL2010)	4.2.3.5	UniRef90_I3WHN9	Bifidobacterium_bifidum
A0A286TFU9	A0A286TFU9_BIFBI	Chorismate synthase (CS) (EC 4.2.3.5) (5-enolpyruvylshikimate-3-phosphate phospholyase)	Bifidobacterium bifidum LMG 13195	4.2.3.5	UniRef90_I3WHN9	Bifidobacterium_bifidum
A0AB36C1W4	A0AB36C1W4_BIFBI	Chorismate synthase (CS) (EC 4.2.3.5) (5-enolpyruvylshikimate-3-phosphate phospholyase)	Bifidobacterium bifidum	4.2.3.5	UniRef90_I3WHN9	Bifidobacterium_bifidum
A0AB33XML7	A0AB33XML7_BIFBI	Chorismate synthase (CS) (EC 4.2.3.5) (5-enolpyruvylshikimate-3-phosphate phospholyase)	Bifidobacterium bifidum LMG 13195	4.2.3.5	UniRef90_I3WHN9	Bifidobacterium_bifidum
A0A3E2B4A7	A0A3E2B4A7_9FIRM	3-deoxy-7-phosphoheptulonate synthase (EC 2.5.1.54)	Evtepia gabavorous	2.5.1.54	UniRef90_A0A3E2B4A7	Evtepia_gabavorous
A0A3E2B4E3	A0A3E2B4E3_9FIRM	3-dehydroquinate synthase (DHQS) (EC 4.2.3.4)	Evtepia gabavorous	4.2.3.4	UniRef90_A0A3E2B4E3	Evtepia_gabavorous
A0A3E2B4F1	A0A3E2B4F1_9FIRM	3-dehydroquinate dehydratase (3-dehydroquinase) (EC 4.2.1.10) (Type II DHQase)	Evtepia gabavorous	4.2.1.10	UniRef90_A0A3E2B4F1	Evtepia_gabavorous
A0A3E2B4C5	A0A3E2B4C5_9FIRM	Shikimate kinase (SK) (EC 2.7.1.71)	Evtepia gabavorous	2.7.1.71	UniRef90_A0A3E2B4C5	Evtepia_gabavorous
A0A3E2B4A5	A0A3E2B4A5_9FIRM	Shikimate kinase (SK) (EC 2.7.1.71)	Evtepia gabavorous	2.7.1.71	UniRef90_A0A3E2B4A5	Evtepia_gabavorous
A0A3E2B499	A0A3E2B499_9FIRM	3-phosphoshikimate 1-carboxyvinyltransferase (EC 2.5.1.19) (5-enolpyruvylshikimate-3-phosphate synthase) (EPSP synthase) (EPSPS)	Evtepia gabavorous	2.5.1.19	UniRef90_A0A3E2B499	Evtepia_gabavorous
A0A3E2B4A8	A0A3E2B4A8_9FIRM	Chorismate synthase (CS) (EC 4.2.3.5) (5-enolpyruvylshikimate-3-phosphate phospholyase)	Evtepia gabavorous	4.2.3.5	UniRef90_A0A3E2B4A8	Evtepia_gabavorous
A0AAW4W029	A0AAW4W029_9FIRM	3-deoxy-7-phosphoheptulonate synthase (EC 2.5.1.54)	Agathobaculum butyriciproducens	2.5.1.54	UniRef90_A0A415ZMX9	Agathobaculum_butyriciproducens
A0AAW4W300	A0AAW4W300_9FIRM	3-deoxy-7-phosphoheptulonate synthase (EC 2.5.1.54)	Agathobaculum butyriciproducens	2.5.1.54	UniRef90_A0A415ZIN3	Agathobaculum_butyriciproducens
A0AAW4VVM2	A0AAW4VVM2_9FIRM	3-dehydroquinate synthase (DHQS) (EC 4.2.3.4)	Agathobaculum butyriciproducens	4.2.3.4	UniRef90_A0A415ZML1	Agathobaculum_butyriciproducens
A0AAW4VZY1	A0AAW4VZY1_9FIRM	3-dehydroquinate dehydratase (3-dehydroquinase) (EC 4.2.1.10) (Type II DHQase)	Agathobaculum butyriciproducens	4.2.1.10	UniRef90_A0A416D7A7	Agathobaculum_butyriciproducens
A0AAW4VXJ0	A0AAW4VXJ0_9FIRM	Multifunctional fusion protein [Includes: Shikimate kinase (SK) (EC 2.7.1.71); Shikimate dehydrogenase (NADP(+)) (SDH) (EC 1.1.1.25)]	Agathobaculum butyriciproducens	1.1.1.25; 2.7.1.71	UniRef90_A0A416DEH9	Agathobaculum_butyriciproducens
A0AAW4VUC5	A0AAW4VUC5_9FIRM	3-phosphoshikimate 1-carboxyvinyltransferase (EC 2.5.1.19) (5-enolpyruvylshikimate-3-phosphate synthase) (EPSP synthase) (EPSPS)	Agathobaculum butyriciproducens	2.5.1.19	UniRef90_A0A1C6GVR4	Agathobaculum_butyriciproducens
A0AAW4VXU8	A0AAW4VXU8_9FIRM	Chorismate synthase (CS) (EC 4.2.3.5) (5-enolpyruvylshikimate-3-phosphate phospholyase)	Agathobaculum butyriciproducens	4.2.3.5	UniRef90_A0A417IIS7	Agathobaculum_butyriciproducens
A0A6L8Q3S0	A0A6L8Q3S0_9ACTN	3-deoxy-7-phosphoheptulonate synthase (EC 2.5.1.54)	Adlercreutzia equolifaciens	2.5.1.54	UniRef90_A0A7K3L1Z6	Adlercreutzia_equolifaciens
A0A369P5M2	A0A369P5M2_9ACTN	3-deoxy-7-phosphoheptulonate synthase	Adlercreutzia equolifaciens subsp. celatus		UniRef90_A0A7K3L1Z6	Adlercreutzia_equolifaciens
A0A3N0AYI2	A0A3N0AYI2_9ACTN	3-deoxy-7-phosphoheptulonate synthase	Adlercreutzia equolifaciens subsp. celatus DSM 18785		UniRef90_A0A7K3L1Z6	Adlercreutzia_equolifaciens
